timestamp,total_bytes,total_packets,avg_packet_size
2025-01-05 21:40:09,103,1,103.0
2025-01-05 21:40:10,0,0,
2025-01-05 21:40:11,0,0,
2025-01-05 21:40:12,1490,1,1490.0
2025-01-05 21:40:13,0,0,
2025-01-05 21:40:14,1493,2,746.5
2025-01-05 21:40:15,2505,4,626.25
2025-01-05 21:40:16,1733,3,577.6666666666666
2025-01-05 21:40:17,3723,4,930.75
2025-01-05 21:40:18,3488,4,872.0
2025-01-05 21:40:19,2569,4,642.25
2025-01-05 21:40:20,1948,4,487.0
2025-01-05 21:40:21,3780,5,756.0
2025-01-05 21:40:22,4386,4,1096.5
2025-01-05 21:40:23,3129,4,782.25
2025-01-05 21:40:24,1890,4,472.5
2025-01-05 21:40:25,3545,4,886.25
2025-01-05 21:40:26,2881,4,720.25
2025-01-05 21:40:27,4118,4,1029.5
2025-01-05 21:40:28,3003,4,750.75
2025-01-05 21:40:29,4746,5,949.2
2025-01-05 21:40:30,3748,4,937.0
2025-01-05 21:40:31,2653,4,663.25
2025-01-05 21:40:32,3809,4,952.25
2025-01-05 21:40:33,3335,4,833.75
2025-01-05 21:40:34,4699,4,1174.75
2025-01-05 21:40:35,4141,4,1035.25
2025-01-05 21:40:36,2119,3,706.3333333333334
2025-01-05 21:40:37,3087,3,1029.0
2025-01-05 21:40:38,2229,3,743.0
2025-01-05 21:40:39,4146,5,829.2
2025-01-05 21:40:40,3693,4,923.25
2025-01-05 21:40:41,3051,5,610.2
2025-01-05 21:40:42,1738,3,579.3333333333334
2025-01-05 21:40:43,2513,4,628.25
2025-01-05 21:40:44,2362,3,787.3333333333334
2025-01-05 21:40:45,3062,4,765.5
2025-01-05 21:40:46,3889,4,972.25
2025-01-05 21:40:47,2587,4,646.75
2025-01-05 21:40:48,4022,4,1005.5
2025-01-05 21:40:49,2568,4,642.0
2025-01-05 21:40:50,2694,4,673.5
2025-01-05 21:40:51,4152,4,1038.0
2025-01-05 21:40:52,4566,5,913.2
2025-01-05 21:40:53,2677,4,669.25
2025-01-05 21:40:54,2499,4,624.75
2025-01-05 21:40:55,3509,4,877.25
2025-01-05 21:40:56,3758,4,939.5
2025-01-05 21:40:57,4040,4,1010.0
2025-01-05 21:40:58,981,4,245.25
2025-01-05 21:40:59,4027,4,1006.75
2025-01-05 21:41:00,3075,4,768.75
2025-01-05 21:41:01,3032,5,606.4
2025-01-05 21:41:02,3274,4,818.5
2025-01-05 21:41:03,3995,5,799.0
2025-01-05 21:41:04,1729,4,432.25
2025-01-05 21:41:05,1107,5,221.4
2025-01-05 21:41:06,3379,4,844.75
2025-01-05 21:41:07,4278,4,1069.5
2025-01-05 21:41:08,4233,5,846.6
2025-01-05 21:41:09,1884,2,942.0
